date,name,ric,uptick_name
2019-04-04,KINA PETROLEUM CORPORATION,KPE,asx
2019-04-01,VANECK VECTORS FTSE INTERNATIONAL PROPERTY (HEDGED) ETF,REI,asx
2019-03-28,ECOFIBRE LIMITED,EOF,asx
2019-03-28,PEPPER RESIDENTIAL SECURITIES TRUST NO 22,PEU,asx
2019-03-24,VANECK VECTORS MSCI WORLD EX AUSTRALIA QUALITY (HEDGED) ETF,QHA,asx
2019-03-06,CANTERBURY RESOURCES LIMITED,CBY,asx
2019-03-03,LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2018-2,LT1,asx
2019-02-25,LIBERTY FUNDING PTY LTD IN RESPECT OF THE LIBERTY SERIES 201,LI5,asx
2019-02-21,MEDILAND PHARM LIMITED,MPH,asx
2019-02-18,CANDY CLUB HOLDINGS LIMITED,CLB,asx
2019-02-13,AFRICAN GOLD LTD.,A1G,asx
2019-02-12,UNITI WIRELESS LIMITED,UWL,asx
